,n_variables,adjusted_r2,intercept,sum of squares,vars
317,4,0.422916482,0.11150334,1351.719302,"('dwtype', 'npers', 'nftw', 'nstud')"
318,4,0.423103173,0.115586992,1351.28201,"('dwtype', 'npers', 'nftw', 'nfem')"
319,4,0.423065051,0.115361361,1351.371306,"('dwtype', 'npers', 'nftw', 'nmale')"
320,4,0.425049777,0.059017269,1346.722423,"('dwtype', 'npers', 'nftw', 'nchild')"
321,4,0.426762887,0.158905745,1342.709757,"('dwtype', 'npers', 'nftw', 'n65+')"
322,4,0.12597366,0.54108989,2047.257006,"('dwtype', 'npers', 'nptw', 'nwah')"
323,4,0.186890747,0.281918324,1904.569162,"('dwtype', 'npers', 'nptw', 'nstud')"
324,4,0.128374862,0.502894636,2041.6326,"('dwtype', 'npers', 'nptw', 'nfem')"
325,4,0.129311578,0.500130179,2039.438504,"('dwtype', 'npers', 'nptw', 'nmale')"
326,4,0.172066685,0.197496275,1939.291988,"('dwtype', 'npers', 'nptw', 'nchild')"
327,4,0.179083994,0.611884088,1922.855143,"('dwtype', 'npers', 'nptw', 'n65+')"
328,4,0.184380856,0.340807827,1910.448152,"('dwtype', 'npers', 'nwah', 'nstud')"
329,4,0.131534835,0.537977635,2034.230905,"('dwtype', 'npers', 'nwah', 'nfem')"
330,4,0.132479772,0.535404721,2032.017553,"('dwtype', 'npers', 'nwah', 'nmale')"
331,4,0.175149706,0.225899954,1932.07054,"('dwtype', 'npers', 'nwah', 'nchild')"
332,4,0.185709199,0.652629596,1907.336736,"('dwtype', 'npers', 'nwah', 'n65+')"
333,4,0.181454961,0.306964105,1917.30156,"('dwtype', 'npers', 'nstud', 'nfem')"
334,4,0.182058952,0.305293344,1915.886814,"('dwtype', 'npers', 'nstud', 'nmale')"
335,4,0.203142267,0.118629157,1866.50276,"('dwtype', 'npers', 'nstud', 'nchild')"
