zone,dwtype,npers,nveh,nlic,nftw,nptw,nwah,nstud,nfem,nmale,nchild,n65+,nwork,nnwk,expfac
2,2,1,1,1,1,0,0,0,1,0,0,0,1,3,24.62
20,2,2,0,2,2,0,0,0,0,2,0,0,2,2,30.35
16,2,2,1,2,0,0,0,2,1,1,0,0,0,8,22.11
9,2,1,1,1,1,0,0,0,0,1,0,0,1,1,25.53
29,1,5,0,0,1,0,0,0,3,2,0,0,1,3,22.11
2,2,1,0,0,0,1,0,0,0,1,0,0,0,3,24.62
14,2,1,0,0,1,0,0,0,0,1,0,0,0,3,22.11
29,2,1,0,0,0,0,0,0,0,1,0,1,0,1,22.11
9,2,1,0,0,1,0,0,0,0,1,0,0,1,1,25.53
19,1,1,0,1,0,0,0,0,1,0,0,1,0,0,27.24
17,2,1,0,1,0,0,0,1,0,1,0,0,0,4,27.24
7,2,3,1,1,1,1,0,0,1,2,1,0,1,7,30.35
4,2,1,1,1,1,0,0,0,1,0,0,0,1,3,25.53
9,2,1,1,1,1,0,0,0,1,0,0,0,0,0,25.53
36,2,3,0,2,2,0,0,1,1,2,1,0,2,4,26.34
6,1,3,1,1,2,0,0,1,2,1,1,0,2,5,30.35
22,1,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
28,2,1,0,1,1,0,0,0,1,0,0,0,2,1,22.11
24,2,2,0,0,0,1,0,1,1,1,1,0,1,2,30.35
38,2,2,1,2,2,0,0,0,1,1,0,0,2,2,26.34
9,2,2,0,2,1,1,0,0,0,2,0,0,2,2,25.53
2,2,3,1,3,2,0,0,0,2,1,0,0,1,1,24.62
2,2,1,0,1,1,0,0,0,1,0,0,0,1,1,24.62
24,2,1,0,0,1,0,0,0,0,1,0,0,1,1,30.35
20,2,4,1,3,2,0,0,0,1,3,0,0,0,8,30.35
1,2,2,1,1,1,1,0,0,1,1,0,0,0,4,24.62
7,2,1,0,0,1,0,0,0,1,0,0,0,1,3,30.35
5,2,2,1,1,1,0,0,0,1,1,0,0,1,1,25.53
9,2,1,1,1,1,0,0,0,0,1,0,0,2,5,25.53
10,2,2,2,2,2,0,0,0,1,1,0,0,2,4,25.53
13,1,2,1,1,1,1,0,0,1,1,0,0,2,8,22.11
31,2,2,1,2,2,0,0,0,1,1,0,0,3,3,26.34
2,1,2,0,1,0,0,0,2,1,1,0,0,0,0,24.62
29,2,1,0,0,1,0,0,0,1,0,0,0,1,1,22.11
28,2,4,1,3,2,0,0,0,2,2,0,1,3,3,22.11
9,2,1,1,1,1,0,0,0,0,1,0,0,1,1,25.53
1,2,2,0,0,1,0,0,1,1,1,1,0,1,3,24.62
19,2,2,1,1,2,0,0,1,1,1,0,0,2,4,27.24
401,2,1,0,1,1,0,0,0,1,0,0,0,1,1,25.53
36,2,2,2,2,1,0,0,0,1,1,0,0,1,5,26.34
28,2,2,0,1,1,0,0,1,1,1,0,0,1,3,22.11
7,2,1,0,1,0,1,0,0,1,0,0,0,1,1,30.35
20,1,2,2,2,2,0,0,0,1,1,0,0,2,5,30.35
404,2,2,2,2,2,0,0,0,0,2,0,0,1,1,22.11
16,2,1,0,1,0,1,0,0,1,0,0,0,0,2,22.11
5,2,2,1,2,1,0,0,0,1,1,0,0,1,1,25.53
401,2,2,0,2,1,1,0,0,2,0,0,0,2,2,25.53
